Date,Symbol,Order,Shares
2008-07-10,IBM,SELL,-2800
2008-07-15,IBM,SELL,100
2008-07-16,IBM,SELL,100
2008-07-17,IBM,SELL,100
2008-07-18,IBM,SELL,100
2008-07-21,IBM,SELL,100
2008-07-22,IBM,SELL,100
2008-07-23,IBM,SELL,100
2008-07-24,IBM,SELL,100
2008-07-25,IBM,SELL,100
2008-07-30,IBM,SELL,100
2008-08-01,IBM,BUY,3800
2008-08-04,IBM,BUY,100
2008-08-06,IBM,SELL,-3700
2008-08-07,IBM,SELL,100
2008-08-08,IBM,SELL,100
2008-08-11,IBM,BUY,3900
2008-08-12,IBM,BUY,100
2008-08-13,IBM,BUY,100
2008-08-14,IBM,BUY,100
2008-08-15,IBM,BUY,100
2008-08-18,IBM,BUY,100
2008-08-19,IBM,BUY,100
2008-08-20,IBM,BUY,100
2008-08-21,IBM,BUY,100
2008-08-22,IBM,BUY,100
2008-08-25,IBM,BUY,100
2008-08-26,IBM,BUY,100
2008-08-27,IBM,BUY,100
2008-08-29,IBM,BUY,100
2008-09-02,IBM,BUY,100
2008-09-03,IBM,BUY,100
2008-09-04,IBM,BUY,100
2008-09-05,IBM,BUY,100
2008-09-08,IBM,BUY,100
2008-09-09,IBM,BUY,100
2008-09-10,IBM,BUY,100
2008-09-15,IBM,BUY,100
2008-09-16,IBM,BUY,100
2008-09-17,IBM,BUY,100
2008-09-18,IBM,BUY,100
2008-09-19,IBM,SELL,-1500
2008-09-23,IBM,BUY,100
2008-09-25,IBM,SELL,-1400
2008-09-26,IBM,SELL,100
2008-09-29,IBM,BUY,1500
2008-10-01,IBM,BUY,100
2008-10-02,IBM,BUY,100
2008-10-03,IBM,BUY,100
2008-10-06,IBM,BUY,100
2008-10-07,IBM,BUY,100
2008-10-08,IBM,BUY,100
2008-10-09,IBM,BUY,100
2008-10-10,IBM,BUY,100
2008-10-13,IBM,BUY,100
2008-10-14,IBM,BUY,100
2008-10-15,IBM,BUY,100
2008-10-16,IBM,BUY,100
2008-10-17,IBM,BUY,100
2008-10-20,IBM,BUY,100
2008-10-21,IBM,BUY,100
2008-10-22,IBM,BUY,100
2008-10-23,IBM,BUY,100
2008-10-24,IBM,BUY,100
2008-10-27,IBM,BUY,100
2008-10-31,IBM,SELL,400
2008-11-03,IBM,SELL,100
2008-11-04,IBM,SELL,100
2008-11-06,IBM,BUY,-200
2008-11-10,IBM,BUY,100
2008-11-11,IBM,BUY,100
2008-11-12,IBM,BUY,100
2008-11-13,IBM,BUY,100
2008-11-14,IBM,BUY,100
2008-11-17,IBM,BUY,100
2008-11-18,IBM,BUY,100
2008-11-19,IBM,BUY,100
2008-11-20,IBM,BUY,100
2008-11-21,IBM,BUY,100
2008-11-24,IBM,BUY,100
2008-11-28,IBM,SELL,1300
2008-12-01,IBM,BUY,100
2008-12-03,IBM,SELL,1400
2008-12-04,IBM,BUY,100
2008-12-05,IBM,SELL,1500
2008-12-08,IBM,SELL,100
2008-12-09,IBM,SELL,100
2008-12-10,IBM,SELL,100
2008-12-12,IBM,SELL,100
2008-12-15,IBM,SELL,100
2008-12-16,IBM,SELL,100
2008-12-17,IBM,SELL,100
2008-12-18,IBM,SELL,100
2008-12-22,IBM,BUY,-700
2008-12-23,IBM,BUY,100
2008-12-24,IBM,BUY,100
2008-12-26,IBM,BUY,100
2008-12-29,IBM,BUY,100
2008-12-30,IBM,SELL,1100
2008-12-31,IBM,SELL,100
2009-01-02,IBM,SELL,100
2009-01-05,IBM,SELL,100
2009-01-06,IBM,SELL,100
2009-01-07,IBM,SELL,100
2009-01-08,IBM,SELL,100
2009-01-12,IBM,SELL,100
2009-01-14,IBM,BUY,-400
2009-01-15,IBM,BUY,100
2009-01-16,IBM,BUY,100
2009-01-20,IBM,BUY,100
2009-01-21,IBM,SELL,700
2009-01-22,IBM,SELL,100
2009-01-23,IBM,SELL,100
2009-01-26,IBM,SELL,100
2009-01-27,IBM,SELL,100
2009-01-28,IBM,SELL,100
2009-01-29,IBM,SELL,100
2009-01-30,IBM,SELL,100
2009-02-02,IBM,SELL,100
2009-02-03,IBM,SELL,100
2009-02-04,IBM,SELL,100
2009-02-05,IBM,SELL,100
2009-02-06,IBM,SELL,100
2009-02-09,IBM,SELL,100
2009-02-11,IBM,SELL,100
2009-02-12,IBM,SELL,100
2009-02-17,IBM,BUY,800
2009-02-18,IBM,BUY,100
2009-02-19,IBM,BUY,100
2009-02-20,IBM,BUY,100
2009-02-23,IBM,BUY,100
2009-02-24,IBM,BUY,100
2009-02-25,IBM,BUY,100
2009-02-26,IBM,BUY,100
2009-03-02,IBM,BUY,100
2009-03-03,IBM,BUY,100
2009-03-05,IBM,BUY,100
2009-03-06,IBM,BUY,100
2009-03-09,IBM,BUY,100
2009-03-11,IBM,SELL,400
2009-03-12,IBM,SELL,100
2009-03-13,IBM,SELL,100
2009-03-16,IBM,SELL,100
2009-03-17,IBM,SELL,100
2009-03-18,IBM,SELL,100
2009-03-19,IBM,SELL,100
2009-03-20,IBM,SELL,100
2009-03-23,IBM,SELL,100
2009-03-24,IBM,SELL,100
2009-03-25,IBM,SELL,100
2009-03-26,IBM,SELL,100
2009-03-31,IBM,SELL,100
2009-04-01,IBM,SELL,100
2009-04-02,IBM,SELL,100
2009-04-03,IBM,SELL,100
2009-04-06,IBM,SELL,100
2009-04-08,IBM,SELL,100
2009-04-09,IBM,SELL,100
2009-04-16,IBM,SELL,100
2009-04-17,IBM,SELL,100
2009-04-21,IBM,SELL,100
2009-04-22,IBM,SELL,100
2009-04-24,IBM,BUY,1800
2009-04-27,IBM,BUY,100
2009-04-28,IBM,SELL,-1700
2009-04-29,IBM,SELL,100
2009-04-30,IBM,SELL,100
2009-05-01,IBM,SELL,100
2009-05-04,IBM,SELL,100
2009-05-05,IBM,SELL,100
2009-05-06,IBM,SELL,100
2009-05-08,IBM,BUY,2300
2009-05-12,IBM,SELL,100
2009-05-13,IBM,BUY,2400
2009-05-14,IBM,BUY,100
2009-05-15,IBM,BUY,100
2009-05-18,IBM,SELL,-2200
2009-05-19,IBM,SELL,100
2009-05-21,IBM,BUY,2300
2009-05-22,IBM,BUY,100
2009-05-26,IBM,SELL,-2200
2009-05-28,IBM,SELL,100
2009-05-29,IBM,SELL,100
2009-06-01,IBM,SELL,100
2009-06-02,IBM,SELL,100
2009-06-03,IBM,SELL,100
2009-06-04,IBM,SELL,100
2009-06-05,IBM,SELL,100
2009-06-08,IBM,SELL,100
2009-06-09,IBM,SELL,100
2009-06-10,IBM,SELL,100
2009-06-11,IBM,SELL,100
2009-06-12,IBM,SELL,100
2009-06-16,IBM,BUY,3400
2009-06-17,IBM,BUY,100
2009-06-18,IBM,BUY,100
2009-06-19,IBM,BUY,100
2009-06-22,IBM,BUY,100
2009-06-23,IBM,BUY,100
2009-06-24,IBM,BUY,100
2009-06-25,IBM,BUY,100
2009-06-26,IBM,BUY,100
2009-06-29,IBM,BUY,100
2009-06-30,IBM,BUY,100
2009-07-01,IBM,BUY,100
2009-07-02,IBM,BUY,100
2009-07-06,IBM,BUY,100
2009-07-07,IBM,BUY,100
2009-07-08,IBM,BUY,100
2009-07-09,IBM,BUY,100
2009-07-10,IBM,BUY,100
2009-07-15,IBM,SELL,-1700
2009-07-16,IBM,SELL,100
2009-07-17,IBM,SELL,100
2009-07-20,IBM,SELL,100
2009-07-21,IBM,SELL,100
2009-07-22,IBM,SELL,100
2009-07-23,IBM,SELL,100
2009-07-24,IBM,SELL,100
2009-07-27,IBM,SELL,100
2009-07-28,IBM,SELL,100
2009-07-29,IBM,SELL,100
2009-07-30,IBM,SELL,100
2009-07-31,IBM,SELL,100
2009-08-03,IBM,SELL,100
2009-08-04,IBM,SELL,100
2009-08-05,IBM,SELL,100
2009-08-07,IBM,SELL,100
2009-08-10,IBM,SELL,100
2009-08-12,IBM,SELL,100
2009-08-13,IBM,SELL,100
2009-08-17,IBM,BUY,3600
2009-08-18,IBM,BUY,100
2009-08-20,IBM,SELL,-3500
2009-08-21,IBM,SELL,100
2009-08-24,IBM,SELL,100
2009-08-26,IBM,SELL,100
2009-08-27,IBM,SELL,100
2009-08-28,IBM,BUY,3900
2009-08-31,IBM,BUY,100
2009-09-01,IBM,BUY,100
2009-09-02,IBM,BUY,100
2009-09-03,IBM,BUY,100
2009-09-04,IBM,BUY,100
2009-09-08,IBM,BUY,100
2009-09-09,IBM,BUY,100
2009-09-14,IBM,SELL,-3200
2009-09-15,IBM,SELL,100
2009-09-16,IBM,SELL,100
2009-09-17,IBM,SELL,100
2009-09-18,IBM,SELL,100
2009-09-21,IBM,SELL,100
2009-09-22,IBM,SELL,100
2009-09-23,IBM,SELL,100
2009-09-24,IBM,SELL,100
2009-09-25,IBM,SELL,100
2009-09-28,IBM,BUY,4100
2009-09-29,IBM,BUY,100
2009-09-30,IBM,BUY,100
2009-10-01,IBM,BUY,100
2009-10-02,IBM,BUY,100
2009-10-05,IBM,BUY,100
2009-10-06,IBM,SELL,-3600
2009-10-07,IBM,SELL,100
2009-10-08,IBM,SELL,100
2009-10-09,IBM,SELL,100
2009-10-12,IBM,SELL,100
2009-10-13,IBM,SELL,100
2009-10-14,IBM,SELL,100
2009-10-15,IBM,SELL,100
2009-10-16,IBM,BUY,4300
2009-10-21,IBM,BUY,100
2009-10-22,IBM,BUY,100
2009-10-23,IBM,BUY,100
2009-10-26,IBM,BUY,100
2009-10-27,IBM,BUY,100
2009-10-28,IBM,BUY,100
2009-10-30,IBM,BUY,100
2009-11-02,IBM,BUY,100
2009-11-03,IBM,BUY,100
2009-11-05,IBM,SELL,-3400
2009-11-06,IBM,SELL,100
2009-11-09,IBM,SELL,100
2009-11-10,IBM,SELL,100
2009-11-11,IBM,SELL,100
2009-11-12,IBM,SELL,100
2009-11-13,IBM,SELL,100
2009-11-16,IBM,SELL,100
2009-11-17,IBM,SELL,100
2009-11-18,IBM,SELL,100
2009-11-19,IBM,SELL,100
2009-11-23,IBM,SELL,100
2009-11-24,IBM,SELL,100
2009-11-25,IBM,BUY,4600
2009-11-27,IBM,BUY,100
2009-11-30,IBM,BUY,100
2009-12-01,IBM,SELL,-4400
2009-12-02,IBM,BUY,100
2009-12-07,IBM,BUY,100
2009-12-08,IBM,BUY,100
2009-12-09,IBM,SELL,-4100
2009-12-10,IBM,SELL,100
2009-12-11,IBM,SELL,100
2009-12-14,IBM,SELL,100
2009-12-16,IBM,SELL,100
2009-12-17,IBM,BUY,4500
2009-12-22,IBM,SELL,100
2009-12-23,IBM,SELL,100
