Date,Symbol,Order,Shares
2010-06-07,IBM,BUY,100
2010-06-08,IBM,BUY,100
2010-06-09,IBM,BUY,100
2010-06-10,IBM,SELL,1600
2010-06-11,IBM,SELL,100
2010-06-14,IBM,SELL,100
2010-06-15,IBM,SELL,100
2010-06-16,IBM,SELL,100
2010-06-17,IBM,SELL,100
2010-06-18,IBM,SELL,100
2010-06-21,IBM,SELL,100
2010-06-22,IBM,SELL,100
2010-06-23,IBM,SELL,100
2010-06-25,IBM,BUY,-700
2010-06-28,IBM,BUY,100
2010-06-29,IBM,BUY,100
2010-06-30,IBM,BUY,100
2010-07-01,IBM,BUY,100
2010-07-02,IBM,BUY,100
2010-07-06,IBM,BUY,100
2010-07-09,IBM,SELL,1300
2010-07-12,IBM,SELL,100
2010-07-13,IBM,SELL,100
2010-07-14,IBM,SELL,100
2010-07-15,IBM,SELL,100
2010-07-19,IBM,SELL,100
2010-07-21,IBM,BUY,-800
2010-07-22,IBM,BUY,100
2010-07-28,IBM,SELL,900
2010-07-29,IBM,BUY,100
2010-08-02,IBM,SELL,1000
2010-08-03,IBM,SELL,100
2010-08-04,IBM,SELL,100
2010-08-05,IBM,SELL,100
2010-08-06,IBM,SELL,100
2010-08-09,IBM,SELL,100
2010-08-10,IBM,SELL,100
2010-08-12,IBM,BUY,-400
2010-08-13,IBM,BUY,100
2010-08-16,IBM,BUY,100
2010-08-17,IBM,BUY,100
2010-08-18,IBM,BUY,100
2010-08-19,IBM,BUY,100
2010-08-20,IBM,BUY,100
2010-08-23,IBM,BUY,100
2010-08-24,IBM,BUY,100
2010-08-25,IBM,BUY,100
2010-08-26,IBM,BUY,100
2010-08-27,IBM,BUY,100
2010-08-30,IBM,BUY,100
2010-08-31,IBM,BUY,100
2010-09-02,IBM,BUY,100
2010-09-03,IBM,SELL,1800
2010-09-08,IBM,SELL,100
2010-09-09,IBM,SELL,100
2010-09-10,IBM,SELL,100
2010-09-13,IBM,SELL,100
2010-09-14,IBM,SELL,100
2010-09-15,IBM,SELL,100
2010-09-16,IBM,SELL,100
2010-09-17,IBM,SELL,100
2010-09-20,IBM,SELL,100
2010-09-21,IBM,SELL,100
2010-09-22,IBM,SELL,100
2010-09-23,IBM,SELL,100
2010-09-24,IBM,SELL,100
2010-09-27,IBM,SELL,100
2010-09-28,IBM,SELL,100
2010-09-29,IBM,SELL,100
2010-09-30,IBM,SELL,100
2010-10-01,IBM,SELL,100
2010-10-04,IBM,SELL,100
2010-10-05,IBM,SELL,100
2010-10-06,IBM,SELL,100
2010-10-07,IBM,SELL,100
2010-10-08,IBM,SELL,100
2010-10-11,IBM,SELL,100
