Date,Symbol,Order,Shares
2010-09-17,ML4T-399,SELL,100
2010-09-20,ML4T-399,SELL,100
2010-09-21,ML4T-399,BUY,100
2010-09-22,ML4T-399,BUY,100
2010-09-23,ML4T-399,BUY,100
2010-09-24,ML4T-399,BUY,100
2010-09-27,ML4T-399,BUY,100
2010-09-28,ML4T-399,BUY,100
2010-09-29,ML4T-399,BUY,100
2010-09-30,ML4T-399,BUY,100
2010-10-01,ML4T-399,SELL,600
2010-10-04,ML4T-399,SELL,100
2010-10-05,ML4T-399,SELL,100
2010-10-06,ML4T-399,SELL,100
2010-10-07,ML4T-399,SELL,100
2010-10-08,ML4T-399,SELL,100
2010-10-11,ML4T-399,SELL,100
2010-10-12,ML4T-399,BUY,0
2010-10-13,ML4T-399,BUY,100
2010-10-14,ML4T-399,BUY,100
2010-10-15,ML4T-399,BUY,100
2010-10-18,ML4T-399,BUY,100
2010-10-19,ML4T-399,BUY,100
2010-10-20,ML4T-399,BUY,100
2010-10-21,ML4T-399,BUY,100
2010-10-22,ML4T-399,SELL,700
2010-10-25,ML4T-399,SELL,100
2010-10-26,ML4T-399,SELL,100
2010-10-27,ML4T-399,SELL,100
2010-10-28,ML4T-399,SELL,100
2010-10-29,ML4T-399,SELL,100
2010-11-01,ML4T-399,SELL,100
2010-11-02,ML4T-399,BUY,-100
2010-11-03,ML4T-399,BUY,100
2010-11-04,ML4T-399,BUY,100
2010-11-05,ML4T-399,BUY,100
2010-11-08,ML4T-399,BUY,100
2010-11-09,ML4T-399,BUY,100
2010-11-10,ML4T-399,BUY,100
2010-11-11,ML4T-399,BUY,100
2010-11-12,ML4T-399,SELL,800
2010-11-15,ML4T-399,SELL,100
2010-11-16,ML4T-399,SELL,100
2010-11-17,ML4T-399,SELL,100
2010-11-18,ML4T-399,SELL,100
2010-11-19,ML4T-399,SELL,100
2010-11-22,ML4T-399,SELL,100
2010-11-24,ML4T-399,BUY,-200
2010-11-26,ML4T-399,BUY,100
2010-11-29,ML4T-399,BUY,100
2010-11-30,ML4T-399,BUY,100
2010-12-01,ML4T-399,BUY,100
2010-12-02,ML4T-399,BUY,100
2010-12-03,ML4T-399,BUY,100
2010-12-06,ML4T-399,SELL,800
2010-12-07,ML4T-399,SELL,100
2010-12-08,ML4T-399,SELL,100
2010-12-09,ML4T-399,SELL,100
2010-12-10,ML4T-399,SELL,100
2010-12-13,ML4T-399,SELL,100
2010-12-14,ML4T-399,SELL,100
2010-12-16,ML4T-399,BUY,-200
2010-12-17,ML4T-399,BUY,100
2010-12-20,ML4T-399,BUY,100
2010-12-21,ML4T-399,BUY,100
2010-12-22,ML4T-399,BUY,100
2010-12-23,ML4T-399,BUY,100
